,0

q1b,0       del col
fs1q2,8     set 1
age,47      set avg

fs1q3a,47   del col
fs1q3b,56
fs1q3c,58
fs1q4,38

fs1q5,17
fs1q6,6
fs1a1,10
fs1a2a,9
fs1a2b,11
fs1a3a,16
fs1a3b,16
fs1a4a,9
fs1a4b,21
fs1a5,7
fs1a6a,6
fs1a6b,5
fs1a6c,9
fs1a7,4
fs1b1,7
fs1b2,12
fs1b3,5
fs1b4,13
fs1b5,11
fs1b6,9
fs1b7,11
fs1b8,13
fs1b9,14
fs1b10,7
fs1b11,6
fs1b12,4
fs1b13,9
fs1b14,3
fs1b15,8
fs1b16,4
fs1b17,4
fs1b18,4
fs1b19,6
fs1b20,19
fs1b21,3
fs1b22,45
fs1c1z,62
fs1c1y,115
fs1c1d10,87
fs1c1d11,87
fs1c1d12,87
fs1c1d13,87
fs1c1d14,87
fs1c1d15,87
fs1c1d16,87
fs1c1d17,87
fs1c1d18,88
fs1c1d19,88
fs1c1d20,112
fs1c1d21,112
fs1c1d22,112
fs1c1d23,112
fs1c1d24,112
fs1c1d25,112
fs1c1d26,112
fs1c1d27,112
fs1c1d28,113
fs1c1d29,113
fs1c1f1,180
fs1c1f2,182

fs1c2y,111      set avg

fs1c2a,22
fs1c2b,17
fs1c301,14
fs1c302,25
fs1c303,15
fs1c304,24
fs1c305,18
fs1c306,25
fs1c307,25
fs1c308,20
fs1c309,34
fs1c4,10
fs1c5a,0
fs1c5b,13
fs1c6a1,13
fs1c6a2,48
fs1c6b1,34
fs1c6b2,73
fs1c6c1,19
fs1c6c2,113
fs1c7,11
fs1c8,55
fs1d1z,58
fs1d1y,52
fs1d1a1,191
fs1d1a2,180
fs1d2z,77
fs1d2y,89
fs1d3,23
fs1e1,22
fs1e2,11
fs1e3,23
fs1e4,2
fs1e5,2
fs1e7,9
fs1e8,13
fs1e9,10
fs1e10,20

fs1wa1,13       del col
fs1wa2,6
fs1wa3,15
fs1wa4,22
fs1wa5,19
fs1wb1,2
fs1wb2,7
fs1wc1,11
fs1wc2,7
fs1wc3,10
fs1wc4,21
fs1wc5,25
fs1wc6,13
fs1wc7,17
fs1wc8,42
fs1wc9,12
fs1wc10,21
fs1wc11,15
fs1wc12,13
fs1wc13,35
fs1wc14,24
fs1wc15,10
fs1wc16,18
fs1wc17,14

fs1ct1,10       set avg
fs1ct2,11       set avg

fs1ct3a,65
fs1ct3b,56
fs1ct4a,69
fs1ct4b,60
fs1ct5a,68
fs1ct5b,59

fs1ct6z1,89     avg

fs1ct6z2,70
fs1ct6z3,71
fs1ct6z4,71
fs1ct6z5,70
fs1ct6z6,70
fs1ct6y1,176
fs1ct6y2,60
fs1ct6y3,59
fs1ct6y4,60
fs1ct6y5,60
fs1ct6y6,59
fs1ct7z1,69
fs1ct7z2,94
fs1ct7y1,60

fs1ct7y2,85     avg

center,0        del col
WOMAC,0
